City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kawambwa,-9.7915,29.0791,11.83,44,26,2.21,ZM,1687140045
1,saint-philippe,-21.3585,55.7679,19.77,80,26,4.37,RE,1687140045
2,olonkinbyen,70.9221,-8.7187,3.4,99,100,2.63,SJ,1687140046
3,alofi,-19.0595,-169.9187,25.94,83,10,4.63,NU,1687140046
4,pont rouge,48.8833,-72.0825,14.16,82,100,2.57,CA,1687140046
5,qaqortoq,60.7167,-46.0333,0.49,96,99,2.89,GL,1687140046
6,margaret river,-33.95,115.0667,12.13,68,100,4.92,AU,1687140047
7,vernon,50.2581,-119.2691,16.45,52,100,5.36,CA,1687139957
8,ribeira grande,38.5167,-28.7,20.99,80,91,2.24,PT,1687140047
9,codrington,-38.2667,141.9667,10.66,60,44,6.32,AU,1687140008
10,port-aux-francais,-49.35,70.2167,6.02,99,100,6.55,TF,1687140047
11,dunedin,-45.8742,170.5036,12.67,84,100,5.36,NZ,1687140048
12,punta arenas,-53.15,-70.9167,4.06,81,40,8.75,CL,1687140048
13,grytviken,-54.2811,-36.5092,-1.07,88,100,2.67,GS,1687140048
14,laguna,38.421,-121.4238,27.3,41,0,7.2,US,1687140048
15,adamstown,-25.066,-130.1015,23.24,79,100,7.13,PN,1687140049
16,at taj,24.2049,23.2857,25.18,27,0,4.65,LY,1687140049
17,hawaiian paradise park,19.5933,-154.9731,27.8,72,0,4.05,US,1687140049
18,amursk,50.2261,136.8994,24.98,47,0,1.85,RU,1687140050
19,ust-nera,64.5667,143.2,20.92,31,7,1.48,RU,1687140050
20,mil'kovo,55.6078,37.7956,13.11,61,0,2.64,RU,1687140050
21,georgetown,5.4112,100.3354,29.96,89,20,1.54,MY,1687139854
22,blackmans bay,-43.0167,147.3167,7.51,69,13,4.46,AU,1687140051
23,mount gambier,-37.8333,140.7667,9.97,64,46,3.72,AU,1687140032
24,college,64.8569,-147.8028,19.18,42,100,5.66,US,1687140051
25,iqaluit,63.7506,-68.5145,3.85,75,40,1.54,CA,1687140013
26,puerto natales,-51.7236,-72.4875,0.73,94,77,2.08,CL,1687140052
27,bilibino,68.0546,166.4372,15.37,40,100,6.05,RU,1687140052
28,persembe,41.0656,37.7714,20.15,80,0,1.81,TR,1687140052
29,paraiso,9.8383,-83.8656,20.84,87,100,1.25,CR,1687140052
30,sao jose da coroa grande,-8.8978,-35.1478,22.33,90,9,1.13,BR,1687140053
31,waitangi,-43.9535,-176.5597,12.12,79,100,4.47,NZ,1687140053
32,albany,42.6001,-73.9662,16.43,84,35,1.12,US,1687140008
33,maragogi,-9.0122,-35.2225,23.92,83,15,1.6,BR,1687140053
34,tete,-16.1564,33.5867,14.05,87,0,1.03,MZ,1687140054
35,haiku-pauwela,20.9219,-156.3051,26.2,69,37,5.36,US,1687140054
36,coyhaique,-45.5752,-72.0662,-2.03,86,0,1.54,CL,1687140012
37,ketchikan,55.3422,-131.6461,13.99,70,78,0.59,US,1687140054
38,jumla,29.2747,82.1838,18.04,81,48,1.29,NP,1687140054
39,west island,-12.1568,96.8225,25.99,83,40,5.14,CC,1687140055
40,bredasdorp,-34.5322,20.0403,13.75,68,87,9.68,ZA,1687140055
41,rouissat,31.9243,5.3502,30.93,18,0,4.62,DZ,1687140055
42,noumea,-22.2763,166.4572,26.99,99,60,6.18,NC,1687139970
43,hamilton,39.1834,-84.5333,23.43,61,20,0.0,US,1687139806
44,kingston,17.997,-76.7936,28.53,82,75,6.17,JM,1687139977
45,camarinas,43.1311,-9.1817,18.29,91,100,2.33,ES,1687140056
46,st. john's,47.5649,-52.7093,5.93,94,100,2.57,CA,1687139549
47,cabo san lucas,22.8909,-109.9124,30.9,50,86,4.98,MX,1687140001
48,tahlequah,35.9154,-94.97,26.12,65,0,0.0,US,1687140057
49,vadso,70.0744,29.7487,7.49,100,100,2.06,NO,1687140057
50,carnarvon,-24.8667,113.6333,17.5,90,100,4.39,AU,1687140057
51,amos,48.5669,-78.1162,16.05,67,100,1.77,CA,1687140057
52,masaka,-0.3338,31.7341,17.12,86,8,0.84,UG,1687140057
53,remire-montjoly,4.9167,-52.2667,24.02,94,0,0.0,GF,1687140058
54,lipovtsy,44.2014,131.7244,24.52,46,40,2.32,RU,1687140058
55,laboulaye,-34.1266,-63.3912,9.46,72,100,4.69,AR,1687140059
56,bosaso,11.2842,49.1816,31.88,63,0,4.3,SO,1687140059
57,edinburgh of the seven seas,-37.0676,-12.3116,14.87,85,100,10.66,SH,1687140059
58,udachny,66.4167,112.4,10.25,66,100,6.8,RU,1687140060
59,thinadhoo,0.5333,72.9333,28.46,73,43,5.31,MV,1687140060
60,kerikeri,-35.2268,173.9474,16.62,77,30,0.89,NZ,1687140060
61,saipan,15.1355,145.701,31.39,100,40,5.66,MP,1687139575
62,crane,31.3974,-102.3501,36.03,10,57,2.17,US,1687140046
63,kulhudhuffushi,6.6221,73.07,28.54,76,100,6.03,MV,1687140061
64,yellowknife,62.456,-114.3525,16.29,41,75,4.63,CA,1687140046
65,vilyuchinsk,52.9306,158.4028,10.15,94,100,4.55,RU,1687140061
66,sao joao da barra,-21.6403,-41.0511,19.96,71,100,2.8,BR,1687140040
67,harrisonville,38.6533,-94.3488,24.58,69,0,0.0,US,1687140062
68,weno,7.4515,151.8468,28.57,77,47,5.11,FM,1687140062
69,papatowai,-46.5619,169.4708,13.68,75,58,2.35,NZ,1687140062
70,el calafate,-50.3408,-72.2768,-0.39,67,4,2.69,AR,1687140062
71,verneuil-sur-avre,48.7395,0.9273,14.78,95,100,2.77,FR,1687140063
72,bhachau,23.2833,70.35,28.82,73,29,5.51,IN,1687139759
73,uturoa,-16.7333,-151.4333,27.28,73,3,0.59,PF,1687140063
74,lebu,-37.6167,-73.65,9.43,77,100,1.49,CL,1687140063
75,utrik,11.2278,169.8474,27.82,74,97,6.69,MH,1687140064
76,dolores,-36.3132,-57.6792,4.97,65,100,2.66,AR,1687140002
77,bad bevensen,53.0833,10.5833,22.25,59,99,2.65,DE,1687140064
78,ancud,-41.8697,-73.8203,6.72,63,0,3.69,CL,1687140013
79,sao tome,0.3365,6.7273,25.67,81,100,4.54,ST,1687140064
80,tiksi,71.6872,128.8694,9.92,60,96,4.96,RU,1687140065
81,deqen,29.9618,90.7188,8.36,95,100,0.28,CN,1687140065
82,yermentau,51.6214,73.1069,24.01,45,100,7.02,KZ,1687140065
83,puerto real,36.5282,-6.1901,22.36,88,0,3.6,ES,1687140066
84,stanley,54.868,-1.6985,14.74,94,75,1.54,GB,1687140066
85,kabo,7.6994,18.629,22.16,97,100,1.52,CF,1687140066
86,mejit,10.2753,170.8646,28.05,76,25,7.29,MH,1687140067
87,cururupu,-1.8283,-44.8683,22.72,98,10,0.95,BR,1687140067
88,isafjordur,66.0755,-23.124,7.28,76,100,1.33,IS,1687140067
89,labytnangi,66.6572,66.4183,6.81,73,89,3.47,RU,1687140068
90,keren,15.7778,38.4581,22.06,57,56,1.96,ER,1687140068
91,muisne,0.6,-80.0333,26.16,87,54,3.61,EC,1687140068
92,lahij,13.1667,44.5833,29.62,47,54,1.01,YE,1687140068
93,tshela,-4.9833,12.9333,20.74,97,99,0.83,CD,1687140069
94,kalabo,-14.97,22.6814,9.81,37,0,2.23,ZM,1687140069
95,ilulissat,69.2167,-51.1,3.01,75,28,1.03,GL,1687140069
96,hadibu,12.65,54.0333,26.48,81,26,7.24,YE,1687140069
97,suva,-18.1416,178.4415,25.71,65,75,2.57,FJ,1687139962
98,mikumi,-7.4041,36.9831,16.52,89,1,1.36,TZ,1687140070
99,kamenica,50.8333,12.9167,16.79,78,86,2.71,DE,1687140070
