City,Country,Lat,Lng,Humidity,Hotel Name
kawambwa,ZM,-9.7915,29.0791,44,No hotel found
saint-philippe,RE,-21.3585,55.7679,80,Le Baril
olonkinbyen,SJ,70.9221,-8.7187,99,No hotel found
alofi,NU,-19.0595,-169.9187,83,Matavai Resort
pont rouge,CA,48.8833,-72.0825,82,No hotel found
qaqortoq,GL,60.7167,-46.0333,96,Hotel Qaqortoq
margaret river,AU,-33.95,115.0667,68,Margaret River Hotel
vernon,CA,50.2581,-119.2691,52,Okanagan Royal Park Inn
ribeira grande,PT,38.5167,-28.7,80,Hospedaria JSF - 3 Estrelas
codrington,AU,-38.2667,141.9667,60,No hotel found
port-aux-francais,TF,-49.35,70.2167,99,Keravel
dunedin,NZ,-45.8742,170.5036,84,Scenic Hotel Dunedin City
punta arenas,CL,-53.15,-70.9167,81,Hotel Lacolet
grytviken,GS,-54.2811,-36.5092,88,No hotel found
laguna,US,38.421,-121.4238,41,Holiday Inn Express & Suites
adamstown,PN,-25.066,-130.1015,79,No hotel found
at taj,LY,24.2049,23.2857,27,No hotel found
hawaiian paradise park,US,19.5933,-154.9731,72,No hotel found
amursk,RU,50.2261,136.8994,47,Центральная
ust-nera,RU,64.5667,143.2,31,"гостиница ""Солнечная"""
mil'kovo,RU,55.6078,37.7956,61,Дрозды
georgetown,MY,5.4112,100.3354,89,Page 63 hostel
blackmans bay,AU,-43.0167,147.3167,69,Villa Howden
mount gambier,AU,-37.8333,140.7667,64,The Old Mount Gambier Gaol
college,US,64.8569,-147.8028,42,BEST WESTERN PLUS Pioneer Park Inn
iqaluit,CA,63.7506,-68.5145,75,Frobisher Inn
puerto natales,CL,-51.7236,-72.4875,94,Dorotea Patagonia Hostel
bilibino,RU,68.0546,166.4372,40,No hotel found
persembe,TR,41.0656,37.7714,80,Hotel Dedeevi
paraiso,CR,9.8383,-83.8656,87,Cabinas
sao jose da coroa grande,BR,-8.8978,-35.1478,90,Hotel do Sol
waitangi,NZ,-43.9535,-176.5597,79,Hotel Chathams
albany,US,42.6001,-73.9662,84,No hotel found
maragogi,BR,-9.0122,-35.2225,83,Pousada Mariluz
tete,MZ,-16.1564,33.5867,87,Zambezi Hotel
haiku-pauwela,US,20.9219,-156.3051,69,Inn At Mama's Fish House
coyhaique,CL,-45.5752,-72.0662,86,No hotel found
ketchikan,US,55.3422,-131.6461,70,Cape Fox Lodge
jumla,NP,29.2747,82.1838,81,Amar Sandesh Guesthouse
west island,CC,-12.1568,96.8225,83,Cocos Village Bungalows
bredasdorp,ZA,-34.5322,20.0403,68,Victoria Hotel
rouissat,DZ,31.9243,5.3502,18,فندق الأروي الذهبي
noumea,NC,-22.2763,166.4572,99,Hotel Gondwana
hamilton,US,39.1834,-84.5333,61,North Vista Manor
kingston,JM,17.997,-76.7936,82,Aphrodite Hotel
camarinas,ES,43.1311,-9.1817,91,O Parranda
st. john's,CA,47.5649,-52.7093,94,Alt Hotel
cabo san lucas,MX,22.8909,-109.9124,50,Comfort Rooms
tahlequah,US,35.9154,-94.97,65,Days Inn & Suites by Wyndham Tahlequah
vadso,NO,70.0744,29.7487,100,Scandic Vadsø
